Bt0,Bt1,Bt2,Bt3,Sector
-75,-63,-54,-84,4
-70,-62,-52,-69,4
-75,-68,-52,-68,4
-75,-63,-71,-83,4
-60,-63,-54,-68,4
-69,-63,-52,-68,4
-60,-63,-53,-68,4
-74,-63,-52,-68,4
-75,-63,-71,-68,4
-70,-80,-71,-69,4
-70,-68,-52,-68,4
-60,-63,-71,-68,4
-75,-81,-72,-68,4
-70,-68,-72,-68,4
-60,-63,-52,-68,4
-60,-61,-71,-68,4
-70,-81,-54,-68,4
-74,-68,-52,-68,4
-73,-63,-54,-68,4
-70,-81,-71,-68,4
-75,-68,-55,-68,4
-70,-81,-52,-68,4
-59,-68,-52,-68,4
-76,-62,-72,-68,4
-74,-80,-55,-68,4
-75,-63,-71,-68,4
-75,-63,-53,-68,4
-60,-63,-52,-69,4
-75,-68,-54,-68,4
-70,-68,-71,-68,4
-70,-63,-55,-68,4
-70,-80,-55,-68,4
-70,-63,-52,-68,4
-76,-63,-71,-68,4
-76,-80,-52,-68,4
-60,-69,-52,-68,4
-70,-68,-54,-68,4
-70,-68,-52,-68,4
-60,-69,-71,-68,4
-75,-80,-72,-68,4
-76,-68,-54,-86,4
-70,-68,-52,-68,4
-70,-62,-52,-68,4
-60,-63,-55,-68,4
-70,-63,-55,-68,4
-70,-62,-71,-68,4
-70,-62,-71,-68,4
-70,-69,-53,-68,4
-60,-63,-72,-68,4
-77,-68,-52,-68,4
-60,-79,-71,-69,4
-77,-63,-53,-68,4
-70,-69,-71,-85,4
-70,-62,-72,-68,4
-75,-63,-52,-86,4
-69,-68,-52,-68,4
-70,-68,-52,-68,4
-74,-62,-52,-68,4
-75,-62,-71,-68,4
-75,-68,-71,-68,4
-60,-64,-71,-68,4
-60,-62,-54,-68,4
-70,-68,-71,-68,4
-75,-78,-53,-68,4
-75,-68,-71,-68,4
-70,-63,-71,-68,4
-75,-63,-71,-68,4
-70,-78,-71,-68,4
-70,-63,-52,-68,4
-60,-63,-52,-68,4
-60,-79,-52,-68,4
-59,-63,-71,-68,4
-75,-78,-71,-68,4
-70,-63,-55,-84,4
-70,-68,-53,-68,4
-70,-63,-52,-68,4
-70,-63,-71,-68,4
-74,-63,-52,-85,4
-60,-63,-55,-68,4
-74,-63,-71,-68,4
-60,-68,-71,-68,4
-73,-68,-52,-68,4
-60,-63,-53,-68,4
-70,-63,-71,-68,4
-60,-68,-52,-68,4
-70,-68,-52,-68,4
-60,-68,-55,-68,4
-70,-63,-71,-68,4
-70,-63,-55,-84,4
-60,-63,-52,-68,4
-60,-63,-52,-68,4
-75,-63,-71,-68,4
-70,-68,-71,-68,4
-60,-68,-71,-68,4
-70,-63,-71,-68,4
-75,-63,-71,-68,4
-74,-68,-55,-68,4
-70,-68,-55,-68,4
-70,-68,-55,-68,4
-60,-78,-71,-86,4
-75,-68,-52,-68,4
-71,-62,-55,-68,4
-60,-68,-71,-68,4
-60,-78,-54,-68,4
-76,-79,-52,-68,4
-75,-62,-52,-68,4
-71,-63,-53,-86,4
-76,-62,-71,-68,4
-60,-63,-70,-68,4
-71,-63,-71,-68,4
-60,-79,-53,-68,4
-71,-68,-55,-68,4
-74,-61,-55,-68,4
-70,-79,-70,-68,4
-68,-63,-55,-69,4
-69,-63,-53,-69,4
-75,-69,-53,-69,4
-60,-69,-71,-68,4
-71,-63,-71,-69,4
-71,-69,-71,-69,4
-71,-63,-53,-84,4
-71,-70,-71,-70,4
-60,-75,-71,-70,4
-60,-63,-55,-71,4
-71,-76,-71,-69,4
-60,-69,-53,-69,4
-77,-63,-71,-69,4
-71,-70,-71,-70,4
-77,-69,-55,-69,4
-77,-63,-71,-69,4
-77,-63,-55,-69,4
-71,-76,-71,-69,4
-77,-69,-54,-69,4
-76,-63,-71,-85,4
-60,-76,-71,-69,4
-71,-64,-71,-70,4
-71,-63,-71,-84,4
-77,-69,-53,-70,4
-70,-69,-53,-69,4
-77,-63,-55,-70,4
-71,-69,-70,-68,4
-77,-63,-55,-70,4
-77,-69,-53,-69,4
-71,-69,-54,-70,4
-71,-77,-55,-70,4
-60,-63,-71,-70,4
-77,-77,-71,-69,4
-71,-69,-53,-70,4
-71,-69,-55,-69,4
-71,-69,-55,-69,4
-71,-63,-53,-69,4
-71,-64,-53,-69,4
-60,-63,-55,-70,4
-71,-76,-53,-71,4
-76,-63,-53,-70,4
-76,-70,-55,-69,4
-76,-70,-71,-69,4
-70,-76,-71,-70,4
-70,-70,-55,-69,4
-71,-70,-71,-84,4
-60,-76,-53,-69,4
-70,-69,-71,-71,4
-75,-60,-53,-71,4
-75,-63,-53,-85,4
-70,-69,-53,-69,4
-70,-77,-53,-70,4
-70,-77,-71,-86,4
-60,-63,-71,-69,4
-70,-76,-53,-69,4
-75,-77,-55,-69,4
-70,-63,-71,-68,4
-60,-69,-71,-69,4
-75,-63,-53,-70,4
-70,-77,-71,-69,4
-76,-69,-70,-69,4
-75,-63,-55,-84,4
-75,-63,-71,-69,4
-75,-63,-71,-69,4
-60,-69,-55,-69,4
-74,-69,-55,-69,4
-75,-75,-53,-83,4
-76,-64,-71,-69,4
-70,-69,-71,-69,4
-70,-69,-53,-70,4
-70,-69,-53,-69,4
-70,-64,-53,-69,4
-75,-75,-71,-69,4
-70,-63,-53,-68,4
-70,-76,-55,-69,4
-70,-70,-55,-69,4
-60,-69,-53,-69,4
-70,-63,-71,-70,4
-70,-63,-71,-69,4
-76,-63,-53,-70,4
-70,-70,-71,-70,4
-70,-76,-55,-70,4
-75,-70,-55,-69,4
-76,-70,-53,-69,4
-76,-70,-71,-68,4
-60,-70,-53,-69,4
-76,-63,-52,-68,4
-76,-63,-55,-69,4
-70,-76,-53,-69,4
-60,-70,-52,-83,4
-60,-63,-53,-70,4
-60,-63,-53,-69,4
-70,-75,-72,-69,4
-70,-64,-71,-70,4
-70,-63,-55,-70,4
-69,-69,-55,-70,4
-70,-69,-53,-84,4
-69,-69,-54,-70,4
-70,-69,-54,-84,4
-70,-63,-55,-70,4
-76,-63,-55,-70,4
-76,-63,-71,-70,4
-60,-63,-55,-69,4
-59,-64,-55,-70,4
-76,-69,-55,-69,4
-75,-63,-54,-70,4
-69,-76,-55,-70,4
-69,-70,-53,-84,4
-60,-70,-53,-69,4
-75,-70,-71,-69,4
-60,-70,-71,-70,4
-70,-70,-55,-69,4
-60,-63,-53,-70,4
-76,-63,-54,-69,4
-60,-63,-53,-70,4
-60,-70,-71,-69,4
-75,-63,-72,-69,4
-75,-64,-71,-69,4
-60,-69,-55,-69,4
-60,-63,-55,-71,4
-60,-69,-53,-69,4
-60,-63,-71,-69,4
-60,-63,-53,-69,4
-75,-69,-53,-69,4
-60,-75,-71,-69,4
-70,-69,-55,-70,4
-70,-69,-53,-69,4
-76,-76,-53,-69,4
-76,-63,-52,-84,4
-70,-63,-71,-70,4
-70,-70,-71,-69,4
-70,-75,-71,-71,4
-60,-75,-53,-70,4
-60,-69,-55,-69,4
-70,-69,-55,-70,4
-75,-74,-53,-70,4
-70,-69,-55,-70,4
-70,-63,-55,-69,4
-60,-75,-71,-70,4
-75,-64,-53,-84,4
-70,-69,-53,-69,4
-76,-63,-55,-70,4
-76,-75,-55,-70,4
-70,-75,-71,-69,4
-70,-75,-71,-69,4
-76,-63,-71,-85,4
-75,-75,-71,-70,4
-60,-69,-54,-70,4
-60,-63,-55,-70,4
-70,-69,-53,-69,4
-76,-63,-55,-70,4
-59,-63,-70,-69,4
-60,-63,-53,-84,4
-70,-63,-53,-70,4
-70,-69,-53,-70,4
-70,-76,-53,-84,4
-70,-69,-55,-69,4
-70,-69,-53,-69,4
-70,-63,-53,-70,4
-70,-76,-53,-69,4
-75,-76,-53,-84,4
-60,-76,-55,-69,4
-70,-63,-55,-69,4
-60,-63,-53,-70,4
-60,-63,-55,-70,4
-76,-69,-53,-69,4
-60,-63,-53,-70,4
-70,-63,-53,-70,4
-60,-70,-71,-69,4
-60,-63,-71,-69,4
-60,-63,-53,-69,4
-60,-63,-71,-69,4
-70,-69,-53,-70,4
-60,-70,-55,-68,4
-77,-63,-55,-70,4
-60,-69,-53,-69,4
-70,-63,-71,-70,4
-75,-63,-55,-69,4
-76,-69,-53,-69,4
-70,-70,-71,-71,4
-60,-63,-55,-69,4
-76,-63,-53,-70,4
-59,-76,-53,-69,4
-60,-76,-71,-69,4
-75,-77,-71,-69,4
-75,-77,-71,-69,4
-60,-63,-71,-69,4
-60,-69,-53,-70,4
-70,-76,-53,-70,4
-60,-63,-53,-69,4
-75,-63,-52,-69,4
-60,-63,-53,-70,4
-60,-76,-53,-69,4
-60,-70,-71,-69,4
-70,-63,-71,-69,4
-75,-69,-71,-84,4
-76,-63,-53,-69,4
-75,-63,-53,-69,4
-76,-76,-53,-69,4
-60,-63,-71,-70,4
-75,-70,-53,-69,4
-70,-76,-53,-69,4
-76,-63,-53,-70,4
-70,-63,-71,-69,4
-60,-69,-71,-69,4
-70,-70,-53,-69,4
-70,-69,-53,-69,4
-75,-74,-53,-69,4
-76,-63,-71,-69,4
-70,-63,-53,-70,4
-76,-74,-55,-70,4
-70,-63,-55,-69,4
-60,-63,-55,-69,4
-70,-63,-71,-68,4
-77,-63,-53,-68,4
-78,-63,-55,-70,4
-70,-70,-71,-70,4
-60,-70,-71,-69,4
-69,-75,-55,-69,4
-60,-75,-55,-69,4
-70,-63,-53,-69,4
-77,-75,-53,-69,4
-60,-63,-53,-70,4
-77,-75,-55,-70,4
-70,-63,-52,-70,4
-60,-69,-53,-68,4
-60,-69,-71,-69,4
-70,-63,-55,-70,4
-76,-75,-55,-69,4
-70,-63,-71,-71,4
-77,-63,-53,-69,4
-70,-69,-71,-69,4
-60,-63,-53,-84,4
-77,-69,-53,-69,4
-60,-63,-55,-84,4
-60,-63,-53,-70,4
-70,-75,-52,-69,4
-69,-70,-52,-84,4
-60,-76,-71,-69,4
-60,-69,-51,-70,4
-70,-70,-71,-71,4
-60,-70,-55,-69,4
-70,-69,-71,-70,4
-70,-70,-53,-70,4
-70,-69,-71,-69,4
-70,-70,-53,-69,4
-78,-75,-53,-69,4
-60,-76,-53,-69,4
-60,-70,-53,-70,4
-78,-63,-53,-70,4
-60,-70,-53,-69,4
-70,-70,-53,-69,4
-77,-70,-55,-70,4
-77,-71,-55,-69,4
-77,-70,-71,-69,4
-60,-75,-53,-69,4
-77,-76,-71,-69,4
-70,-70,-53,-70,4
-71,-70,-55,-84,4
-77,-63,-71,-84,4
-77,-63,-53,-69,4
-70,-63,-71,-70,4
-75,-63,-53,-69,4
-77,-63,-55,-69,4
-77,-63,-55,-69,4
-70,-69,-71,-69,4
-60,-64,-55,-70,4
-70,-69,-71,-69,4
-76,-63,-55,-69,4
-60,-63,-55,-70,4
-70,-75,-72,-70,4
-71,-69,-71,-69,4
-70,-70,-53,-70,4
-60,-69,-71,-69,4
-60,-63,-55,-71,4
-60,-69,-55,-69,4
-70,-75,-53,-69,4
-60,-63,-72,-69,4
-60,-69,-72,-69,4
-77,-69,-53,-69,4
-77,-69,-53,-69,4
-70,-69,-55,-69,4
-60,-69,-53,-69,4
-70,-69,-53,-69,4
-70,-70,-72,-69,4
-70,-75,-72,-84,4
-60,-76,-53,-69,4
-70,-63,-53,-70,4
-77,-76,-55,-69,4
-70,-75,-53,-70,4
-70,-69,-53,-69,4
-77,-69,-53,-69,4
-60,-69,-53,-84,4
-60,-70,-71,-69,4
-77,-77,-53,-69,4
-71,-77,-53,-70,4
-78,-63,-71,-69,4
-70,-63,-53,-69,4
-70,-69,-55,-70,4
-60,-77,-72,-69,4
-70,-63,-53,-69,4
-70,-69,-53,-82,4
-70,-63,-55,-69,4
-60,-64,-53,-69,4
-70,-77,-55,-70,4
-60,-63,-53,-69,4
-77,-63,-71,-70,4
-60,-63,-71,-71,4
-76,-69,-55,-84,4
-70,-70,-55,-70,4
-75,-70,-55,-83,4
-78,-63,-71,-69,4
-71,-70,-53,-70,4
-76,-74,-71,-69,4
-71,-70,-53,-69,4
-70,-75,-55,-70,4
-71,-76,-55,-70,4
-76,-77,-71,-70,4
-70,-69,-53,-69,4
-70,-63,-71,-70,4
-70,-70,-53,-69,4
-74,-63,-71,-70,4
-70,-70,-71,-69,4
-60,-74,-53,-69,4
-77,-69,-70,-68,4
-68,-63,-54,-68,4
-63,-74,-51,-64,5
-63,-83,-51,-63,5
-64,-69,-53,-60,5
-62,-69,-52,-58,5
-63,-69,-52,-59,5
-62,-84,-51,-63,5
-67,-78,-52,-59,5
-63,-72,-52,-62,5
-68,-71,-52,-59,5
-62,-78,-52,-62,5
-67,-71,-52,-63,5
-67,-74,-52,-59,5
-65,-71,-51,-63,5
-65,-70,-52,-59,5
-64,-74,-51,-59,5
-67,-71,-51,-59,5
-61,-81,-51,-62,5
-71,-80,-51,-61,5
-67,-75,-51,-63,5
-69,-71,-52,-62,5
-62,-91,-52,-62,5
-64,-80,-53,-59,5
-63,-77,-51,-62,5
-71,-69,-51,-59,5
-70,-78,-51,-64,5
-71,-69,-51,-64,5
-63,-69,-51,-62,5
-63,-82,-51,-64,5
-70,-69,-51,-64,5
-63,-81,-51,-62,5
-63,-78,-51,-59,5
-63,-81,-52,-64,5
-62,-69,-49,-64,5
-70,-70,-52,-64,5
-63,-70,-52,-62,5
-63,-70,-51,-59,5
-71,-81,-51,-64,5
-62,-80,-52,-61,5
-62,-81,-52,-59,5
-63,-70,-51,-59,5
-62,-80,-52,-64,5
-70,-70,-52,-64,5
-70,-80,-52,-64,5
-70,-70,-52,-59,5
-63,-77,-52,-59,5
-64,-71,-52,-59,5
-64,-71,-52,-62,5
-68,-72,-52,-59,5
-68,-72,-51,-59,5
-64,-77,-51,-63,5
-64,-71,-51,-62,5
-64,-71,-52,-63,5
-64,-77,-52,-59,5
-68,-77,-52,-62,5
-64,-77,-50,-63,5
-69,-77,-51,-63,5
-64,-71,-51,-59,5
-64,-71,-52,-63,5
-64,-77,-50,-63,5
-64,-71,-51,-63,5
-68,-71,-51,-63,5
-69,-77,-51,-63,5
-64,-71,-53,-63,5
-64,-71,-51,-59,5
-68,-77,-51,-63,5
-64,-77,-51,-61,5
-64,-71,-51,-62,5
-64,-71,-51,-63,5
-68,-72,-52,-59,5
-69,-71,-51,-62,5
-69,-72,-52,-63,5
-64,-76,-52,-59,5
-64,-71,-52,-59,5
-68,-77,-53,-63,5
-64,-71,-51,-63,5
-69,-77,-52,-62,5
-69,-77,-51,-63,5
-64,-77,-51,-63,5
-68,-71,-52,-59,5
-69,-78,-52,-59,5
-63,-77,-52,-62,5
-64,-72,-51,-63,5
-64,-72,-51,-63,5
-68,-77,-50,-63,5
-63,-71,-51,-63,5
-63,-71,-52,-59,5
-63,-77,-51,-63,5
-63,-77,-53,-63,5
-69,-71,-52,-63,5
-69,-71,-50,-63,5
-64,-71,-51,-62,5
-70,-84,-51,-59,5
-63,-78,-51,-62,5
-63,-70,-52,-59,5
-63,-70,-52,-62,5
-63,-70,-51,-62,5
-71,-70,-52,-59,5
-71,-80,-52,-64,5
-63,-69,-51,-64,5
-63,-69,-51,-64,5
-63,-79,-52,-65,5
-71,-69,-52,-65,5
-63,-69,-52,-59,5
-70,-78,-52,-62,5
-70,-67,-52,-65,5
-70,-69,-52,-65,5
-63,-69,-50,-65,5
-64,-79,-51,-66,5
-63,-70,-52,-59,5
-65,-70,-52,-66,5
-64,-86,-50,-59,5
-64,-71,-52,-59,5
-65,-71,-51,-65,5
-68,-71,-51,-59,5
-64,-71,-52,-65,5
-64,-83,-52,-61,5
-69,-71,-52,-65,5
-69,-83,-51,-59,5
-64,-83,-51,-61,5
-64,-71,-51,-65,5
-68,-71,-52,-65,5
-64,-84,-52,-60,5
-64,-82,-52,-59,5
-65,-85,-52,-65,5
-69,-70,-51,-65,5
-64,-84,-51,-60,5
-69,-84,-52,-65,5
-69,-71,-51,-65,5
-64,-83,-52,-59,5
-65,-83,-52,-60,5
-69,-83,-52,-60,5
-64,-82,-52,-60,5
-64,-71,-52,-59,5
-68,-71,-52,-65,5
-64,-83,-51,-65,5
-69,-83,-50,-61,5
-64,-83,-51,-65,5
-64,-83,-51,-65,5
-64,-71,-52,-60,5
-64,-70,-52,-61,5
-64,-82,-51,-65,5
-64,-71,-52,-60,5
-65,-71,-51,-65,5
-69,-71,-50,-65,5
-68,-71,-51,-59,5
-68,-84,-51,-65,5
-65,-71,-51,-65,5
-64,-83,-52,-65,5
-64,-71,-51,-65,5
-68,-84,-52,-60,5
-64,-84,-51,-61,5
-64,-71,-52,-60,5
-64,-85,-51,-59,5
-69,-85,-51,-61,5
-64,-71,-52,-65,5
-64,-71,-52,-59,5
-64,-70,-51,-59,5
-64,-71,-51,-61,5
-68,-83,-52,-59,5
-65,-71,-52,-60,5
-68,-71,-50,-61,5
-68,-83,-52,-65,5
-68,-71,-51,-59,5
-64,-71,-52,-65,5
-64,-71,-52,-61,5
-64,-71,-52,-65,5
-64,-71,-51,-61,5
-65,-83,-50,-65,5
-64,-81,-51,-61,5
-68,-71,-51,-65,5
-64,-83,-52,-65,5
-68,-83,-52,-59,5
-65,-71,-52,-59,5
-64,-72,-51,-65,5
-68,-70,-52,-60,5
-64,-84,-51,-61,5
-68,-83,-52,-61,5
-68,-82,-52,-65,5
-64,-82,-51,-65,5
-64,-83,-52,-65,5
-64,-71,-51,-60,5
-68,-71,-52,-59,5
-68,-71,-52,-60,5
-64,-71,-52,-60,5
-64,-83,-52,-61,5
-65,-71,-52,-59,5
-65,-71,-51,-65,5
-64,-71,-50,-65,5
-65,-83,-52,-65,5
-65,-83,-52,-61,5
-68,-71,-52,-65,5
-64,-71,-51,-59,5
-68,-71,-52,-60,5
-64,-83,-51,-65,5
-64,-82,-52,-65,5
-65,-71,-52,-59,5
-64,-71,-51,-59,5
-65,-71,-52,-65,5
-65,-84,-52,-65,5
-64,-71,-52,-65,5
-69,-71,-52,-59,5
-65,-71,-51,-65,5
-69,-71,-52,-59,5
-69,-71,-52,-65,5
-65,-71,-51,-60,5
-64,-82,-52,-65,5
-68,-71,-52,-61,5
-65,-71,-51,-59,5
-69,-82,-52,-59,5
-69,-71,-51,-59,5
-69,-71,-52,-65,5
-68,-71,-50,-65,5
-65,-71,-50,-65,5
-65,-83,-51,-65,5
-65,-83,-52,-60,5
-69,-71,-52,-60,5
-64,-71,-50,-59,5
-68,-83,-52,-61,5
-65,-71,-52,-59,5
-68,-71,-52,-61,5
-64,-83,-52,-61,5
-65,-83,-52,-60,5
-69,-82,-52,-66,5
-65,-70,-50,-66,5
-69,-71,-51,-65,5
-65,-70,-52,-59,5
-65,-71,-51,-59,5
-68,-70,-52,-59,5
-65,-85,-52,-65,5
-68,-69,-52,-65,5
-65,-82,-52,-65,5
-65,-82,-51,-65,5
-64,-82,-52,-61,5
-64,-71,-52,-60,5
-64,-71,-51,-65,5
-64,-71,-51,-66,5
-65,-82,-52,-65,5
-68,-83,-52,-60,5
-68,-84,-51,-65,5
-64,-83,-50,-65,5
-65,-70,-52,-61,5
-64,-70,-52,-60,5
-64,-81,-52,-59,5
-64,-71,-52,-66,5
-65,-71,-50,-66,5
-68,-71,-52,-66,5
-65,-81,-52,-61,5
-64,-69,-51,-60,5
-65,-71,-51,-59,5
-68,-71,-52,-65,5
-65,-70,-51,-59,5
-68,-83,-52,-65,5
-68,-71,-52,-65,5
-68,-81,-52,-65,5
-64,-71,-52,-65,5
-65,-83,-51,-59,5
-68,-71,-51,-61,5
-68,-71,-52,-60,5
-69,-71,-51,-65,5
-64,-71,-52,-65,5
-64,-71,-52,-59,5
-68,-81,-52,-60,5
-69,-81,-51,-59,5
-69,-82,-51,-65,5
-69,-71,-52,-65,5
-68,-81,-51,-59,5
-65,-71,-52,-65,5
-68,-81,-52,-59,5
-65,-71,-51,-59,5
-68,-71,-50,-59,5
-68,-70,-51,-59,5
-65,-84,-52,-60,5
-65,-71,-51,-60,5
-64,-70,-52,-61,5
-69,-71,-52,-59,5
-64,-71,-52,-65,5
-64,-71,-52,-59,5
-68,-71,-51,-61,5
-64,-71,-51,-59,5
-68,-84,-52,-60,5
-69,-82,-52,-61,5
-64,-82,-51,-65,5
-64,-82,-51,-65,5
-65,-83,-52,-65,5
-64,-71,-51,-61,5
-64,-81,-52,-65,5
-68,-71,-51,-65,5
-64,-71,-51,-61,5
-64,-81,-52,-59,5
-65,-69,-52,-65,5
-65,-82,-52,-60,5
-68,-82,-52,-59,5
-65,-81,-52,-61,5
-65,-82,-52,-59,5
-65,-71,-52,-65,5
-68,-71,-52,-65,5
-68,-83,-52,-65,5
-64,-83,-51,-61,5
-64,-71,-51,-59,5
-64,-83,-51,-65,5
-69,-71,-51,-65,5
-68,-71,-52,-59,5
-65,-81,-52,-59,5
-64,-71,-51,-65,5
-65,-71,-51,-59,5
-68,-82,-51,-65,5
-69,-71,-52,-60,5
-64,-83,-51,-65,5
-68,-71,-51,-65,5
-64,-83,-52,-60,5
-68,-83,-52,-59,5
-65,-71,-52,-65,5
-68,-71,-51,-65,5
-64,-84,-52,-65,5
-64,-85,-52,-59,5
-68,-83,-52,-65,5
-68,-71,-53,-65,5
-64,-81,-51,-59,5
-65,-71,-51,-65,5
-64,-80,-51,-59,5
-65,-83,-50,-59,5
-65,-83,-52,-59,5
-64,-82,-52,-65,5
-65,-71,-52,-59,5
-68,-82,-52,-61,5
-65,-70,-52,-65,5
-65,-82,-52,-59,5
-64,-82,-52,-59,5
-65,-71,-52,-65,5
-65,-71,-52,-65,5
-65,-82,-52,-60,5
-69,-71,-52,-59,5
-65,-72,-52,-59,5
-64,-71,-51,-59,5
-64,-82,-52,-60,5
-65,-81,-51,-65,5
-64,-81,-52,-65,5
-69,-70,-51,-65,5
-64,-80,-52,-59,5
-64,-82,-52,-59,5
-65,-82,-52,-59,5
-69,-71,-51,-65,5
-69,-71,-51,-59,5
-68,-71,-52,-59,5
-64,-71,-51,-59,5
-64,-71,-52,-61,5
-68,-81,-52,-60,5
-64,-71,-52,-59,5
-65,-81,-52,-65,5
-66,-81,-51,-59,5
-64,-82,-52,-59,5
-65,-82,-52,-59,5
-69,-84,-52,-65,5
-64,-70,-51,-60,5
-68,-71,-51,-59,5
-64,-71,-52,-60,5
-68,-82,-52,-60,5
-65,-83,-52,-65,5
-68,-83,-52,-61,5
-65,-81,-51,-59,5
-68,-80,-51,-61,5
-68,-71,-52,-65,5
-64,-71,-51,-65,5
-65,-84,-51,-59,5
-68,-71,-52,-65,5
-68,-71,-51,-65,5
-68,-82,-51,-59,5
-65,-82,-52,-61,5
-65,-80,-51,-59,5
-64,-70,-52,-65,5
-65,-71,-52,-66,5
-65,-83,-52,-59,5
-65,-84,-51,-59,5
-64,-71,-51,-59,5
-63,-71,-51,-65,5
-68,-70,-51,-61,5
-65,-81,-52,-65,5
-68,-84,-52,-59,5
-64,-80,-52,-59,5
-68,-70,-52,-65,5
-68,-70,-51,-66,5
-68,-84,-51,-61,5
-65,-70,-51,-61,5
-65,-85,-51,-60,5
-64,-85,-52,-65,5
-69,-70,-51,-61,5
-68,-71,-52,-59,5
-68,-86,-51,-66,5
-65,-81,-51,-59,5
-64,-84,-52,-65,5
-68,-83,-52,-59,5
-64,-85,-52,-60,5
-68,-71,-52,-59,5
-68,-70,-51,-61,5
-64,-71,-51,-65,5
-68,-85,-52,-61,5
-65,-70,-51,-59,5
-68,-79,-52,-65,5
-64,-84,-51,-59,5
-64,-84,-52,-59,5
-65,-80,-51,-66,5
-65,-71,-52,-66,5
-64,-84,-52,-59,5
-63,-84,-50,-59,5
-68,-79,-52,-59,5
-68,-71,-52,-66,5
-64,-84,-51,-65,5
-64,-71,-51,-59,5
-64,-79,-53,-66,5
-68,-71,-52,-66,5
-65,-71,-52,-59,5
-65,-84,-51,-59,5
-65,-71,-52,-59,5
-65,-83,-52,-59,5
-68,-80,-52,-65,5
-68,-71,-51,-66,5
-68,-80,-52,-59,5
-64,-71,-52,-59,5
-68,-79,-52,-66,5
-65,-79,-51,-66,5
-64,-71,-51,-61,5
-64,-71,-52,-59,5
-64,-71,-52,-59,5
-69,-71,-51,-61,5
-64,-85,-51,-61,5
-64,-78,-52,-59,5
-64,-71,-52,-59,5
-69,-80,-51,-59,5
-69,-79,-50,-60,5
-64,-78,-51,-66,5
-68,-84,-52,-61,5
-64,-85,-52,-61,5
-69,-85,-52,-61,5
-64,-79,-51,-60,5
-65,-70,-52,-59,5
-65,-85,-52,-66,5
-63,-78,-50,-66,5
-65,-70,-51,-59,5
-63,-88,-51,-59,5
-70,-77,-52,-65,5
-65,-77,-51,-59,5
-71,-69,-51,-65,5
-64,-69,-52,-59,5
-64,-69,-52,-59,5
-63,-70,-51,-62,5
-70,-78,-52,-64,5
-70,-70,-51,-59,5
-62,-70,-52,-64,5
-69,-78,-50,-59,5
-63,-71,-52,-63,5
-69,-71,-52,-59,5
-63,-77,-51,-61,5
-64,-71,-51,-63,5
-69,-83,-53,-63,5
-69,-71,-51,-63,5
-69,-78,-51,-62,5
-63,-71,-52,-59,5
-63,-85,-50,-63,5
-63,-78,-52,-59,5
-63,-78,-52,-59,5
-69,-83,-51,-62,5
-70,-77,-52,-59,5
-63,-69,-51,-62,5
-63,-78,-53,-63,5
-69,-78,-52,-63,5
-69,-78,-51,-63,5
-63,-71,-53,-62,5
-63,-82,-51,-62,5
-70,-71,-51,-59,5
-63,-78,-51,-63,5
-63,-78,-52,-59,5
-63,-78,-53,-62,5
-63,-71,-51,-63,5
-63,-78,-52,-59,5
-63,-78,-53,-59,5
-70,-81,-51,-63,5
-70,-70,-51,-59,5
-62,-69,-50,-63,5
-63,-71,-52,-59,5
-64,-70,-51,-64,5
-64,-70,-52,-64,5
-71,-83,-51,-59,5
-63,-69,-52,-64,5
-63,-84,-52,-64,5
-64,-69,-51,-59,5
-64,-76,-51,-59,5
-63,-70,-52,-65,5
-65,-77,-50,-66,5
-64,-90,-52,-66,5
-69,-78,-52,-66,5
-64,-80,-51,-61,5
-69,-70,-52,-66,5
-63,-70,-51,-60,5
-64,-79,-51,-66,5
-69,-70,-52,-61,5
-64,-70,-52,-60,5
-64,-70,-52,-59,5
-64,-70,-51,-65,5
-65,-69,-52,-61,5
-69,-78,-51,-59,5
-64,-70,-51,-61,5
-69,-85,-51,-62,5
-69,-70,-52,-62,5
-65,-69,-50,-59,5
-70,-69,-52,-62,5
-70,-69,-52,-62,5
-63,-87,-51,-65,5
-65,-78,-51,-59,5
-65,-69,-51,-62,5
-69,-69,-52,-59,5
-63,-69,-51,-59,5
-64,-78,-52,-59,5
-64,-69,-52,-59,5
-69,-69,-51,-59,5
-65,-69,-50,-59,5
-64,-78,-52,-59,5
-64,-68,-52,-65,5
-65,-69,-52,-62,5
-64,-89,-51,-59,5
-65,0,-52,-62,5
-65,-68,-53,-65,5
-69,-89,-52,-65,5
-64,-78,-52,-65,5
-64,-69,-51,-65,5
-63,-69,-52,-59,5
-69,-78,-52,-59,5
-63,-91,-52,-65,5
-63,-69,-51,-59,5
-69,-69,-50,-62,5
-63,-78,-52,-66,5
-69,-78,-52,-62,5
-69,-70,-52,-59,5
-65,-71,-52,-59,5
-65,-85,-52,-59,5
-68,-72,-52,-60,5
-68,-72,-52,-59,5
-65,-84,-50,-65,5
-64,-72,-52,-60,5
-65,-83,-52,-59,5
-65,-72,-51,-60,5
-68,-83,-52,-65,5
-64,-72,-52,-60,5
-64,-72,-51,-59,5
-68,-72,-52,-61,5
-65,-84,-52,-59,5
-69,-83,-50,-65,5
-64,-72,-52,-59,5
-68,-72,-52,-61,5
-64,-83,-52,-60,5
-64,-72,-52,-60,5
-65,-72,-52,-65,5
-64,-72,-51,-65,5
-64,-72,-53,-59,5
-64,-72,-51,-60,5
-64,-72,-51,-65,5
-68,-72,-52,-59,5
-64,-71,-51,-65,5
-65,-71,-52,-65,5
